region_id,week_index,treatment_group,post_period,treatment_exposure_index,configuration_rate,baseline_intent_index,availability_index
R30,16,1,1,60.183,0.081071,0.776771,0.907237
R31,1,1,0,22.40989,0.06876,0.634414,0.759506
R31,2,1,0,20.88242,0.075618,0.73615,0.753395
R31,3,1,0,18.34766,0.067435,0.61061,0.826064
R31,4,1,0,18.97939,0.063544,0.645088,0.723825
R31,5,1,0,23.04751,0.065044,0.696676,0.886542
R31,6,1,0,22.75316,0.068675,0.658379,0.908691
R31,7,1,0,25.03815,0.068094,0.562515,0.797648
R31,8,1,0,25.50897,0.073518,0.643968,0.818158
R31,9,1,1,61.81249,0.089235,0.603565,0.759163
R31,10,1,1,55.49511,0.083802,0.628927,0.786511
R31,11,1,1,58.09054,0.088234,0.694329,0.842944
R31,12,1,1,62.81792,0.076971,0.623563,0.742988
R31,13,1,1,61.15434,0.081264,0.639591,0.768033
R31,14,1,1,60.22391,0.071395,0.639605,0.76867
R31,15,1,1,62.41301,0.085222,0.655074,0.910764
R31,16,1,1,62.76139,0.085491,0.664104,0.813613
R32,1,0,0,16.04823,0.077499,0.833186,0.815188
R32,2,0,0,16.61735,0.076587,0.873119,0.800621
R32,3,0,0,22.4633,0.071884,0.924118,0.83987
R32,4,0,0,13.21183,0.073307,0.920971,0.815462
R32,5,0,0,18.17941,0.066755,0.826996,0.808784
R32,6,0,0,20.2944,0.071799,0.928837,0.789705
R32,7,0,0,20.06445,0.069534,0.858888,0.756598
R32,8,0,0,23.1008,0.075549,0.834287,0.824456
R32,9,0,1,20.49885,0.075321,0.956449,0.888355
R32,10,0,1,18.63241,0.07748,0.827063,0.879161
R32,11,0,1,16.37406,0.071499,0.963236,0.826954
R32,12,0,1,19.23023,0.072213,0.863681,0.886752
R32,13,0,1,20.26657,0.072953,0.827551,0.837656
R32,14,0,1,16.48154,0.066984,0.833509,0.850111
R32,15,0,1,20.93472,0.061988,0.852292,0.809166
R32,16,0,1,16.62027,0.071163,0.874637,0.798882
